Row Labels,Average of course_grade
857,7.941176471
858,7.469387755
859,6.940298507
860,8.253968254
861,5.46875
862,8.887096774
863,7
864,7.4
865,7.434782609
866,5.920634921
867,7.4375
868,8.37704918
869,8.516129032
870,6.897058824
871,7.709677419
872,7.257575758
873,7.222222222
874,7.650793651
875,8.36
876,8.693548387
877,9.063492063
878,6.84
879,6.980769231
880,7.514705882
881,7.846153846
882,8.530612245
883,6.392156863
884,7.8125
885,9.296875
886,6.579710145
887,8.507936508
888,8.510204082
889,6.388059701
890,8.090909091
891,5.979591837
892,8.519230769
893,7.770833333
894,8.290322581
895,7.863636364
896,8.790322581
897,6.634615385
898,8.060606061
899,7.682539683
900,5.290322581
901,7.68852459
902,7.579710145
903,8.14516129
904,8.716666667
905,7.818181818
906,7.412698413
907,8.882352941
908,8.208333333
909,8.09375
910,6.661764706
911,7.142857143
912,7.363636364
913,7.952380952
914,6.333333333
915,8.078431373
916,8
917,7
918,8.859375
919,7.64516129
920,7.070422535
921,7.387096774
922,8.636363636
923,7.333333333
924,8.428571429
925,9.046875
926,6.942028986
927,6.92
928,7.152173913
929,8.479166667
930,8.222222222
931,7.723076923
932,7.75
933,6.584615385
934,7.92
935,8.958333333
936,7.770833333
937,6.895522388
938,7.206349206
939,7.936507937
940,8.193548387
941,7.106382979
942,7
943,7.081632653
944,6.515151515
945,8.111111111
946,7.787878788
947,9.104166667
948,6.803921569
949,7.666666667
950,7.246153846
951,8.5
952,7.967741935
953,7.6875
954,8.121212121
955,6.492307692
956,8.171875
957,7.8
958,7.825396825
959,7.326923077
960,7.865671642
961,8.444444444
962,8.15625
963,6.907407407
964,7.942028986
965,7.803030303
966,7.045454545
967,6.615384615
968,9.085106383
969,8.5
970,6.913043478
971,8.176470588
972,7.71641791
973,6.875
974,7.836734694
975,7.451612903
976,6.927536232
977,6.306122449
978,8.435483871
979,7.983870968
980,8.255319149
981,5.411764706
982,7.985074627
983,9.209677419
984,8.555555556
985,7.703125
986,8
987,7.25
988,7
989,6.859375
990,7.259259259
991,8.360655738
992,7
993,7.224489796
994,7.220588235
995,8.06
996,7
997,7
998,8.208333333
999,8.6
1000,7.579710145
1001,7.342857143
1002,8.127659574
1003,7.9375
1004,8.081967213
1005,8.612903226
1006,6.982142857
1007,7.583333333
1008,8.5
1009,8.5
1010,8.066666667
1011,8.46031746
1012,5.016666667
1013,8.492307692
1014,8.322580645
1015,8.112903226
1016,8.666666667
1017,5.983870968
1018,8.040816327
1019,7.62295082
1020,7.73015873
1021,6.76
1022,9
1023,6.7
1024,7.62745098
1025,7.096153846
1026,7.857142857
1027,7.8
1028,6.269230769
1029,7.786885246
1030,6.823529412
1031,8.115384615
1032,8.229166667
1033,6.6
1034,8.224489796
1035,8.096774194
1036,7.362068966
1037,8
1038,8.12244898
1039,8.049180328
1040,5.770833333
1041,5.816326531
1042,8.78
1043,7.830769231
1044,8.446808511
1045,6.016393443
1046,6.449275362
1047,8.523809524
1048,9
1049,6.12244898
1050,8.145833333
1051,8.274509804
1052,7.571428571
1053,7.93877551
1054,7.448979592
1055,8.839285714
1056,7.246376812
1057,8.192307692
1058,8.191489362
1059,6.396226415
1060,6.038461538
1061,7.918367347
1062,8.123076923
1063,8.42
1064,6.9
1065,4.52
1066,6.596153846
1067,5.933333333
1068,7
1069,6.923076923
1070,6.708333333
1071,8.102040816
1072,5.6
1073,6.333333333
1074,6.604166667
1075,7
1076,7.938461538
1077,1
1078,7.795918367
1079,6.652173913
1080,6.75
1081,6.775510204
1082,5.791666667
1083,6.708333333
1084,6.326530612
1085,6.673469388
1086,7.163265306
1087,6.203703704
1088,7.934782609
1089,7.680851064
1090,8.191489362
1091,7.913043478
1092,7.469387755
1093,7.5625
1094,8.106382979
1095,8.130434783
1096,6.765957447
1097,8.688888889
1098,7.163265306
1099,7.274509804
1100,8.152173913
1101,7.212765957
1102,5.8
1103,8.866666667
1104,7.666666667
1105,6.959183673
1106,6.6875
1107,7.44
1108,7.282608696
1109,8.489795918
1110,6.87037037
(blank),
Grand Total,7.598144283
